genre,songName,singer,musicDirector,lyricist,movie,year
playful_songs,Ajnabi Tere Liye Hu Mai,Krishna Kalle,Robin Banerjee,Yogesh Gaud,Spy In Goa,1966
playful_songs,Akhiyan Lada Jaa (Part - Ii),Alka Yagnik*Udit Narayan,Himesh Reshammiya,Sameer,Blackmail,2005
playful_songs,Aksar Koi Kadka Is Haal Me,Mahesh Kumar,Mahesh Naresh,Vishveshvar Sharma,Mazey Le Lo,1975
playful_songs,Albela Albela,S. Janaki,Bappi Lahiri,NotFound,Shart,1986
playful_songs,Albela Mastana Ek Hanso Ka Joda,NotFound,R C Boral,Pandit Bhushan,Wapas,1943
playful_songs,All I Need Is You,Raghav*Selena Dhillon,Craig McConnell,Raghav,Dr Cabbie,2014
playful_songs,All I Need Is You (Hindi),Raghav,Craig McConnell,Kumaar,Dr Cabbie,2014
playful_songs,All In The Mind,Rachel Varghese,Imaad Shah,Imaad Shah,404,2011
playful_songs,Alla Miya,Sunidhi Chauhan*Daboo Malik,Daboo Malik,Praveen Bharadwaj,Hawas,2004
playful_songs,Allah Bachaaye,Rupmatii Jolly,Rupmatii Jolly,Rupmatii Jolly,Allah Bachaaye,2016
playful_songs,Allah Bahut Bada Hai,Mohammed Aziz,Laxmikant Pyarelal,Sameer,Sapnon Ka Mandir,1991
playful_songs,Allah Duhayi Hai Allah Ye Dunia Garibo,Hamida Banu*Zeenat Begum,Firoz Nizami,Waheed Qureshi,Nek Parvin,1946
playful_songs,Allah Hay Allah Kya Surat Hai,Abhijeet,Usha Khanna,NotFound,Sanam Harjai,1995
playful_songs,Allah Khair Baba Khair Rabba Khair,Anoop Kumar*Kishore Kumar,Kishore Kumar,Shailendra,Hum Do Daku,1967
playful_songs,Allah Teri Aaho Me Itna Asar De,Kamal Barot*Shamshad Begum,Hansraj Behl,Prem Warbartani,Ek Din Ka Badshah,1964
playful_songs,Allah Tero Naam,Parvati Khan,Hriju Roy,NotFound,Bharat Bhagya Vidhata,2002
playful_songs,Aman Ki Asha,Shankar Mahadevan*Rahat Fateh Ali Khan,Shankar Ehsaan Loy,Gulzar,Aman Ki Asha (Album),2010
playful_songs,Amar Hai Shakti Shakti Amar Hai,Mohammed Rafi,Laxmikant Pyarelal,Anand Bakshi,Amar Shakti,1978
playful_songs,Ambar Ke Niche Dharti Dharti Ke Neeche Pataal,Vani Jairam*Suman Kalyanpur,Ajay,Madan Bharti,Hanuman Vijay,1974
playful_songs,Ambar Ko Apani Baanhon Men Rak Rak Rak,Shankar Mahadevan*Kunal Ganjawala*Gayatri Ganjawala,Shankar Ehsaan Loy,Sameer,Rudraksh,2004
playful_songs,Ameer Se Hoti Hain,Ravi*Mohammed Rafi*Deven Verma,Ravi,Verma Malik,Aadmi Sadak Ka,1977
playful_songs,Amiro Ke Bhagwan Garibo Ko Sataya,Mohammed Rafi,B N Bali,Raja Mehdi Ali Khan,Mastani,1955
playful_songs,Anari Lover,Raja Hasan*Madhushree,Tarannum Mallik,Satyendra Khare,Ebn-e-batuta,2014
playful_songs,Anarkali Tere Sar Ki Kasam,Arun*Jolly*Sudesh Bhosle*Alka Yagnik,Laxmikant Pyarelal,Sameer,Do Matwale,1991
playful_songs,Andhera Ujale Se Takda Raha Hai,Asha Bhosle,Usha Khanna,Asad Bhopali,Begunah,1970
playful_songs,Andhiya Chal Rahi Bijaliya Gir Rahi,Suman Kalyanpur,S N Tripathi,Bharat Vyas,Sati Sulochana,1969
playful_songs,Ang Ang Mera Gaane Laga,Asha Bhosle,Bappi Lahiri,Kulwant Jani,Kaala Sooraj,1986
playful_songs,Angana Bole Kaag Re,Shamshad Begum,Ghulam Mohammad,Majrooh Sultanpuri,Doli,1947
playful_songs,Angdayi Leke Prem Jawani Jaagi Re,Lata Mangeshkar,Bappi Lahiri,Anand Bakshi,Jyoti,1981
playful_songs,Anguli Me Anguthi (Male),Mohammed Aziz,Laxmikant Pyarelal,Anand Bakshi,Ram Avtar,1988
playful_songs,Ankh Mastani Teri (Crazee),Taz  Stereo Nation,Simon Duggal,Kumaar,It\'s a Wonderful Afterlife,2010
playful_songs,Ankh Meri Galti Se Lad Gayi,Kishore Kumar,Sachin Dev Burman,Anand Bakshi,Jyoti,1970
playful_songs,Ankhiya Churane Wali Paas Na Aane Wali,Kumar Sanu*Alka Yagnik,Bappi Lahiri,NotFound,Sherkhan,1999
playful_songs,Ankho Ke Jaam Layi Hu,NotFound,Iqbal,Saba Fazli,Fauladi Mukka,1965
playful_songs,Ankho Me Aansu Hotho Pe Nagme,Alka Yagnik,Jatin Lalit,Sameer,Nishana,1995
playful_songs,Annadata O Annadata,Mohammed Rafi*Shamshad Begum,Mohammed Shafi,Anjum Jaipuri,Annadata,1952
playful_songs,Antenna (Reloaded),Apeksha Dandekar*Anupam Amod,Pritam Chakraborty,Amitabh Bhattacharya,Always Kabhi Kabhi,2011
playful_songs,Antul Hawa Ki Dekho,Kamal Barot*Usha Mangeshkar,Ram Prasad,Farooq Qaiser,Magic Carpet,1964
